,index,day,dow,店舗ID,商品ID,商品価格,売上個数
79,3469,1,Tue,7,1600002,510,1
80,3470,1,Tue,10,1600002,510,1
81,3471,1,Tue,0,1600002,510,2
82,3472,1,Tue,14,1600002,510,1
83,3529,1,Tue,13,1700001,1690,1
84,3530,1,Tue,4,1700002,290,1
85,3531,1,Tue,7,1700003,1630,1
86,3532,1,Tue,9,1700004,1700,1
87,3533,1,Tue,13,1700005,1700,1
88,3534,1,Tue,0,1700005,1700,1
89,3535,1,Tue,5,1700007,1100,1
90,3536,1,Tue,0,1700009,1440,1
91,3537,1,Tue,10,1700010,1700,1
92,3538,1,Tue,0,1700011,1440,1
93,3539,1,Tue,4,1700015,940,1
94,3540,1,Tue,1,1700015,940,1
95,3541,1,Tue,0,1700016,1440,1
96,3739,1,Tue,9,2100001,930,1
97,3740,1,Tue,13,2100001,930,1
98,3741,1,Tue,10,2100002,930,1
99,3742,1,Tue,9,2100002,930,1
100,3743,1,Tue,17,2100002,930,1
101,3744,1,Tue,5,2100003,1020,1
102,3745,1,Tue,0,2100003,1020,1
103,3977,1,Tue,6,2300002,6440,1
104,4041,1,Tue,7,2400002,2550,1
105,4042,1,Tue,9,2400002,2550,1
106,4043,1,Tue,1,2400003,1070,1
107,4044,1,Tue,16,2400003,1070,1
108,4045,1,Tue,13,2400003,1070,1
109,4046,1,Tue,10,2400005,1870,1
110,4047,1,Tue,7,2400006,1090,1
111,4048,1,Tue,1,2400006,1090,2
112,4049,1,Tue,10,2400006,1090,1
113,4050,1,Tue,9,2400006,1090,1
114,4051,1,Tue,13,2400007,1020,1
115,4052,1,Tue,16,2400008,2210,1
116,4053,1,Tue,7,2400009,1270,1
117,4054,1,Tue,10,2400009,1270,1
118,4055,1,Tue,9,2400009,1270,1
119,4056,1,Tue,0,2400009,1270,1
120,4091,1,Tue,0,2500001,510,2
121,4139,1,Tue,2,2600002,3060,1
122,4140,1,Tue,13,2600004,1690,1
123,4141,1,Tue,0,2600005,1000,2
124,4208,1,Tue,9,2700005,420,1
125,4232,1,Tue,15,2800001,1190,1
126,4233,1,Tue,7,2800001,1190,1
127,4300,1,Tue,8,3200001,3380,1
128,4301,1,Tue,5,3200001,3380,1
129,4341,1,Tue,0,3400001,1190,1
130,4342,1,Tue,7,3400002,2020,1
131,4343,1,Tue,1,3400003,1190,1
132,4344,1,Tue,9,3400003,830,1
133,4345,1,Tue,4,3400003,1190,1
134,4346,1,Tue,15,3400003,1190,1
135,4347,1,Tue,0,3400003,1190,1
136,4348,1,Tue,2,3400003,830,1
137,4387,2,Web,10,1000001,420,3
138,4388,2,Web,5,1000001,420,1
139,4389,2,Web,10,1000002,250,1
140,4390,2,Web,2,1000002,250,1
141,4391,2,Web,0,1000002,250,1
142,4392,2,Web,11,1000005,250,1
143,4393,2,Web,10,1000007,250,1
144,4394,2,Web,0,1000007,250,1
145,4395,2,Web,1,1000008,130,1
146,5311,2,Web,14,1100001,590,1
147,5312,2,Web,17,1100001,590,1
148,5929,2,Web,9,1200002,510,1
149,5930,2,Web,11,1200007,250,1
150,5931,2,Web,17,1200007,250,1
151,5932,2,Web,6,1200008,250,1
152,5933,2,Web,17,1200008,250,1
153,5934,2,Web,6,1200009,250,1
154,5935,2,Web,12,1200012,510,1
155,5936,2,Web,11,1200015,340,1
156,5937,2,Web,2,1200017,340,1
157,5938,2,Web,0,1200020,250,1
158,5939,2,Web,10,1200023,510,1
159,5940,2,Web,4,1200026,340,1
160,5941,2,Web,9,1200030,510,1
161,5942,2,Web,6,1200032,680,1
162,6518,2,Web,1,1400002,530,1
163,6519,2,Web,1,1400002,850,1
164,6520,2,Web,9,1400002,850,1
165,6821,2,Web,9,1600001,560,1
166,6822,2,Web,8,1600001,560,1
167,6823,2,Web,7,1600002,510,1
168,6867,2,Web,3,1700001,1700,1
169,6868,2,Web,12,1700001,1700,1
170,6869,2,Web,13,1700001,1700,1
171,6870,2,Web,2,1700001,1700,1
172,6871,2,Web,1,1700001,1700,1
173,6872,2,Web,1,1700002,290,1
174,6873,2,Web,14,1700002,290,1
175,6874,2,Web,14,1700002,290,1
176,6875,2,Web,16,1700003,2040,1
177,6876,2,Web,13,1700003,2040,1
178,6877,2,Web,0,1700003,2040,1
179,6878,2,Web,0,1700005,1700,1
180,6879,2,Web,11,1700006,170,1
181,6880,2,Web,0,1700007,1100,1
182,6881,2,Web,6,1700008,170,1
183,6882,2,Web,8,1700013,1360,1
184,6883,2,Web,4,1700016,1440,1
185,6884,2,Web,9,1700017,1280,1
186,7085,2,Web,13,2100001,930,1
187,7295,2,Web,14,2300001,3400,1
188,7296,2,Web,17,2300001,3400,1
189,7370,2,Web,1,2400002,2550,1
190,7371,2,Web,1,2400002,1690,2
191,7372,2,Web,10,2400003,1070,1
192,7373,2,Web,9,2400003,1070,1
193,7374,2,Web,14,2400003,1070,1
194,7375,2,Web,7,2400004,1190,1
195,7376,2,Web,6,2400004,1190,1
196,7377,2,Web,0,2400005,1870,1
197,7378,2,Web,0,2400006,1090,1
198,7379,2,Web,2,2400006,1090,1
199,7380,2,Web,11,2400007,1020,1
200,7381,2,Web,10,2400008,2210,1
201,7382,2,Web,14,2400008,2210,1
202,7383,2,Web,6,2400009,1270,1
203,7384,2,Web,0,2400009,840,1
204,7385,2,Web,1,2400009,840,1
205,7386,2,Web,14,2400009,1270,1
206,7387,2,Web,12,2400009,1270,1
207,7388,2,Web,11,2400011,3400,1
208,7426,2,Web,6,2500002,420,1
209,7427,2,Web,2,2500003,510,1
210,7477,2,Web,6,2600003,2550,1
211,7478,2,Web,16,2600004,1700,1
212,7479,2,Web,6,2600005,1000,1
213,7480,2,Web,7,2600005,1000,1
214,7481,2,Web,13,2600006,2550,1
215,7539,2,Web,0,2700005,420,1
216,7540,2,Web,10,2700007,590,1
217,7576,2,Web,16,2800001,1190,1
218,7669,2,Web,16,3200001,3380,1
219,7706,2,Web,6,3400002,2020,1
220,7707,2,Web,4,3400003,1190,1
221,7708,2,Web,14,3400003,830,1
222,7709,2,Web,13,3400003,830,1
223,7710,2,Web,0,3400003,830,1
224,7711,2,Web,16,3400003,830,1
225,7712,2,Web,5,3400003,1190,1
226,7752,3,Thu,10,1000001,420,2
227,7753,3,Thu,7,1000003,250,1
228,7754,3,Thu,9,1000005,250,1
229,7755,3,Thu,14,1000005,250,1
230,7756,3,Thu,0,1000005,250,1
231,7757,3,Thu,14,1000006,250,1
232,7758,3,Thu,0,1000006,250,1
233,7759,3,Thu,9,1000007,250,1
234,7760,3,Thu,10,1000008,250,1
235,7761,3,Thu,14,1000008,250,1
236,7762,3,Thu,0,1000008,250,1
237,9135,3,Thu,17,1200001,510,1
238,9136,3,Thu,12,1200002,510,1
239,9137,3,Thu,15,1200002,390,1
240,9138,3,Thu,13,1200003,310,1
241,9139,3,Thu,13,1200007,130,1
242,9140,3,Thu,9,1200008,250,1
243,9141,3,Thu,9,1200009,250,1
244,9142,3,Thu,15,1200009,130,1
245,9143,3,Thu,7,1200010,250,1
246,9144,3,Thu,15,1200016,250,1
247,9145,3,Thu,7,1200016,250,1
248,9146,3,Thu,0,1200019,510,1
249,9147,3,Thu,0,1200021,510,1
250,9148,3,Thu,1,1200022,510,1
251,9149,3,Thu,8,1200023,510,1
252,9150,3,Thu,9,1200027,340,1
253,9151,3,Thu,10,1200033,290,1
254,9468,3,Thu,6,1300001,4250,1
255,9469,3,Thu,7,1300001,4250,1
256,9698,3,Thu,0,1400001,530,1
257,9699,3,Thu,0,1400002,850,1
258,9700,3,Thu,12,1400002,850,1
259,9701,3,Thu,17,1400003,590,1
260,9939,3,Thu,7,1600001,560,2
261,9940,3,Thu,13,1600001,560,1
262,9941,3,Thu,8,1600001,560,1
263,9942,3,Thu,0,1600002,510,1
264,9943,3,Thu,5,1600002,510,1
265,9944,3,Thu,14,1600002,510,1
266,9988,3,Thu,10,1700001,1700,1
267,9989,3,Thu,0,1700001,1700,1
268,9990,3,Thu,17,1700001,1610,1
269,9991,3,Thu,8,1700003,2040,1
270,9992,3,Thu,3,1700005,1700,1
271,9993,3,Thu,10,1700005,1360,1
272,9994,3,Thu,10,1700010,1700,1
273,9995,3,Thu,10,1700011,1440,1
274,9996,3,Thu,6,1700011,1440,1
275,9997,3,Thu,7,1700013,1360,1
276,9998,3,Thu,5,1700017,1280,1
277,9999,3,Thu,2,1700017,1280,1
278,10193,3,Thu,14,2100001,930,1
279,10194,3,Thu,13,2100002,930,1
280,10195,3,Thu,0,2100002,930,1
281,10196,3,Thu,1,2100003,1020,1
282,10197,3,Thu,10,2100003,1020,1
283,10398,3,Thu,7,2300002,6460,1
284,10399,3,Thu,6,2300002,6460,1
285,10400,3,Thu,0,2300002,6460,1
286,10459,3,Thu,7,2400003,1070,1
287,10460,3,Thu,9,2400003,1070,1
288,10461,3,Thu,15,2400003,1070,1
289,10462,3,Thu,0,2400003,1070,1
290,10463,3,Thu,0,2400003,1070,1
291,10464,3,Thu,2,2400003,1070,1
292,10465,3,Thu,0,2400004,1190,1
293,10466,3,Thu,9,2400005,1870,1
294,10467,3,Thu,0,2400006,1090,1
295,10468,3,Thu,11,2400006,1090,1
296,10469,3,Thu,7,2400007,1020,2
297,10470,3,Thu,13,2400007,1020,1
298,10471,3,Thu,7,2400008,2210,2
299,10501,3,Thu,0,2500003,510,1
300,10502,3,Thu,12,2500003,510,1
301,10541,3,Thu,7,2600001,2210,1
302,10542,3,Thu,7,2600003,2550,1
303,10543,3,Thu,10,2600005,1000,1
304,10544,3,Thu,16,2600005,1000,1
305,10545,3,Thu,14,2600005,1000,1
306,10586,3,Thu,3,2700003,420,1
307,10587,3,Thu,10,2700003,420,1
308,10620,3,Thu,14,2800001,1190,1
309,10621,3,Thu,5,2800001,1190,1
310,10733,3,Thu,10,3400001,830,1
311,10734,3,Thu,0,3400001,830,1
312,10735,3,Thu,15,3400002,2530,1
313,10736,3,Thu,10,3400002,2530,2
314,10737,3,Thu,9,3400003,1190,1
315,10738,3,Thu,6,3400003,1010,2
316,10767,4,Fri,1,1000001,420,1
317,10768,4,Fri,9,1000002,250,1
318,10769,4,Fri,12,1000003,250,1
319,10770,4,Fri,16,1000007,250,1
320,10771,4,Fri,17,1000007,250,1
321,10772,4,Fri,5,1000007,250,1
322,12175,4,Fri,17,1200001,480,1
323,12176,4,Fri,0,1200001,510,1
324,12177,4,Fri,17,1200002,480,1
325,12178,4,Fri,14,1200003,510,1
326,12179,4,Fri,14,1200004,510,1
327,12180,4,Fri,10,1200006,340,1
328,12181,4,Fri,13,1200007,250,1
329,12182,4,Fri,14,1200007,250,1
330,12183,4,Fri,8,1200007,250,1
331,12184,4,Fri,13,1200008,250,1
332,12185,4,Fri,8,1200008,250,1
333,12186,4,Fri,17,1200009,250,1
334,12187,4,Fri,8,1200009,250,1
335,12188,4,Fri,4,1200015,340,1
336,12189,4,Fri,2,1200021,510,1
337,12190,4,Fri,12,1200021,510,1
338,12191,4,Fri,17,1200021,480,1
339,12192,4,Fri,6,1200023,510,1
340,12193,4,Fri,13,1200024,510,1
341,12194,4,Fri,0,1200032,440,1
342,12195,4,Fri,0,1200032,680,1
343,12516,4,Fri,10,1300001,4250,1
344,12517,4,Fri,10,1300001,4250,1
345,12747,4,Fri,15,1400002,850,1
346,12748,4,Fri,12,1400002,850,1
347,12749,4,Fri,0,1400002,850,1
348,12750,4,Fri,15,1400002,530,1
349,13019,4,Fri,0,1600002,510,1
350,13073,4,Fri,9,1700001,1700,1
351,13074,4,Fri,0,1700001,1700,1
352,13075,4,Fri,10,1700001,1700,1
353,13076,4,Fri,0,1700004,1700,1
354,13077,4,Fri,17,1700005,1700,1
355,13078,4,Fri,6,1700009,1440,1
356,13079,4,Fri,7,1700015,940,1
357,13080,4,Fri,7,1700015,940,1
358,13081,4,Fri,6,1700016,1440,1
359,13248,4,Fri,0,2100001,930,1
360,13249,4,Fri,7,2100001,930,1
361,13250,4,Fri,13,2100001,930,1
362,13251,4,Fri,7,2100002,930,1
363,13252,4,Fri,0,2100002,530,1
364,13253,4,Fri,13,2100002,930,1
365,13473,4,Fri,0,2400002,2550,1
366,13474,4,Fri,17,2400002,2550,1
367,13475,4,Fri,7,2400003,1070,1
368,13476,4,Fri,17,2400003,1070,1
369,13477,4,Fri,14,2400005,1870,1
370,13478,4,Fri,12,2400007,1020,1
371,13479,4,Fri,13,2400009,1270,1
372,13480,4,Fri,6,2400009,1270,1
373,13481,4,Fri,9,2400009,1270,1
374,13482,4,Fri,10,2400010,2040,1
375,13509,4,Fri,6,2500001,510,1
376,13544,4,Fri,7,2600004,1700,1
377,13545,4,Fri,7,2600004,1700,2
378,13546,4,Fri,0,2600005,1000,2
379,13547,4,Fri,11,2600005,1000,2
380,13548,4,Fri,13,2600006,2550,1
381,13618,4,Fri,7,2800001,1190,1
382,13619,4,Fri,2,2800001,1190,1
383,13719,4,Fri,0,3400001,1190,1
384,13720,4,Fri,15,3400002,2530,1
385,13721,4,Fri,16,3400003,1190,1
386,13722,4,Fri,0,3400003,830,1
387,13757,5,Sat,12,1000001,420,1
388,13758,5,Sat,0,1000001,420,1
389,13759,5,Sat,6,1000001,420,1
390,13760,5,Sat,0,1000005,250,1
391,13761,5,Sat,9,1000006,250,1
392,13762,5,Sat,13,1000006,250,1
393,13763,5,Sat,9,1000008,250,1
394,13764,5,Sat,1,1000008,130,1
395,14473,5,Sat,9,1100001,590,1
396,14984,5,Sat,14,1200002,510,1
397,14985,5,Sat,14,1200003,510,1
398,14986,5,Sat,6,1200004,510,1
399,14987,5,Sat,13,1200004,510,1
400,14988,5,Sat,1,1200006,340,1
401,14989,5,Sat,13,1200007,250,1
402,14990,5,Sat,10,1200007,250,1
403,14991,5,Sat,10,1200008,250,1
404,14992,5,Sat,5,1200009,250,1
405,14993,5,Sat,0,1200009,250,1
406,14994,5,Sat,17,1200009,250,1
407,14995,5,Sat,10,1200009,250,1
408,14996,5,Sat,8,1200011,510,1
409,14997,5,Sat,8,1200012,510,1
410,14998,5,Sat,17,1200015,340,1
411,14999,5,Sat,15,1200015,190,1
412,15000,5,Sat,14,1200019,510,1
413,15001,5,Sat,13,1200025,510,1
414,15002,5,Sat,10,1200028,420,1
415,15003,5,Sat,13,1200030,510,1
416,15004,5,Sat,14,1200032,680,1
417,15324,5,Sat,11,1300001,4250,1
418,15497,5,Sat,9,1400001,590,1
419,15498,5,Sat,9,1400002,640,1
420,15499,5,Sat,1,1400002,530,1
421,15500,5,Sat,13,1400002,640,1
422,15501,5,Sat,10,1400002,680,1
423,15742,5,Sat,14,1600002,510,1
424,15784,5,Sat,9,1700001,1700,2
425,15785,5,Sat,13,1700001,1700,1
426,15786,5,Sat,0,1700001,1700,1
427,15787,5,Sat,0,1700003,1290,1
428,15788,5,Sat,0,1700004,1100,1
429,15789,5,Sat,0,1700004,1700,1
430,15790,5,Sat,0,1700008,100,1
431,15791,5,Sat,10,1700009,1440,1
432,15792,5,Sat,8,1700009,1440,1
433,15793,5,Sat,10,1700011,1440,1
434,15794,5,Sat,13,1700011,1440,1
435,15795,5,Sat,7,1700012,940,1
436,15796,5,Sat,10,1700013,1360,1
437,15797,5,Sat,13,1700013,1360,1
438,15798,5,Sat,0,1700014,1440,1
439,15799,5,Sat,8,1700016,1440,1
440,15982,5,Sat,13,2100001,930,1
441,15983,5,Sat,7,2100002,930,1
442,15984,5,Sat,4,2100002,930,1
443,15985,5,Sat,4,2100003,1020,1
444,15986,5,Sat,11,2100003,1020,1
445,16150,5,Sat,4,2300002,6460,1
446,16192,5,Sat,9,2400002,2550,1
447,16193,5,Sat,1,2400002,1690,1
448,16194,5,Sat,9,2400002,2550,1
449,16195,5,Sat,0,2400003,1070,1
450,16196,5,Sat,17,2400003,1070,1
451,16197,5,Sat,0,2400006,1090,1
452,16198,5,Sat,6,2400007,1020,2
453,16199,5,Sat,13,2400007,1020,1
454,16200,5,Sat,14,2400007,1020,1
455,16201,5,Sat,0,2400010,2040,1
456,16202,5,Sat,11,2400011,3400,1
457,16222,5,Sat,0,2500004,510,1
458,16268,5,Sat,3,2600004,1700,1
459,16269,5,Sat,1,2600004,1190,1
460,16270,5,Sat,8,2600004,1700,1
461,16320,5,Sat,13,2700004,420,1
462,16321,5,Sat,10,2700006,510,1
463,16351,5,Sat,16,2800001,1190,1
464,16444,5,Sat,0,3300001,1530,1
465,16453,5,Sat,3,3400001,1190,1
466,16454,5,Sat,0,3400001,690,1
467,16455,5,Sat,6,3400003,1190,1
468,16484,6,Sun,10,1000001,420,1
469,16485,6,Sun,0,1000001,420,2
470,16486,6,Sun,0,1000001,420,1
471,16487,6,Sun,13,1000006,250,1
472,16488,6,Sun,11,1000008,250,1
473,16489,6,Sun,0,1000009,250,1
474,17144,6,Sun,6,1100001,590,1
475,17145,6,Sun,7,1100001,590,1
476,17594,6,Sun,7,1200001,510,1
477,17595,6,Sun,3,1200001,510,1
478,17596,6,Sun,13,1200002,510,1
479,17597,6,Sun,10,1200007,250,1
480,17598,6,Sun,6,1200007,250,1
481,17599,6,Sun,12,1200007,250,1
482,17600,6,Sun,5,1200008,250,1
483,17601,6,Sun,16,1200008,250,1
484,17602,6,Sun,0,1200010,250,1
485,17603,6,Sun,8,1200014,510,1
486,17604,6,Sun,13,1200014,330,1
487,17605,6,Sun,8,1200020,250,1
488,17606,6,Sun,1,1200021,510,1
489,17607,6,Sun,9,1200021,510,1
490,17608,6,Sun,0,1200027,340,1
491,18042,6,Sun,5,1400001,850,1
492,18043,6,Sun,11,1400001,320,1
493,18044,6,Sun,16,1400002,530,1
494,18045,6,Sun,2,1400002,850,1
495,18046,6,Sun,0,1400002,850,2
496,18047,6,Sun,2,1400002,640,1
497,18048,6,Sun,2,1400003,590,1
498,18272,6,Sun,9,1600001,560,1
499,18273,6,Sun,8,1600001,560,1
500,18274,6,Sun,16,1600002,510,1
501,18275,6,Sun,8,1600002,510,1
502,18316,6,Sun,13,1700001,1700,1
503,18317,6,Sun,6,1700002,290,1
504,18318,6,Sun,13,1700005,1700,1
505,18319,6,Sun,4,1700006,170,1
506,18320,6,Sun,5,1700007,1100,1
507,18321,6,Sun,13,1700010,1700,1
508,18322,6,Sun,3,1700012,940,1
509,18323,6,Sun,13,1700013,1360,1
510,18324,6,Sun,2,1700013,1360,1
511,18325,6,Sun,5,1700016,1440,1
512,18471,6,Sun,12,2100002,930,1
513,18472,6,Sun,8,2100003,1020,1
514,18473,6,Sun,7,2100003,1020,1
515,18611,6,Sun,15,2300002,6460,1
516,18612,6,Sun,0,2300002,6460,1
517,18649,6,Sun,10,2400002,2550,1
518,18650,6,Sun,13,2400002,2550,1
519,18651,6,Sun,1,2400003,1070,1
520,18652,6,Sun,9,2400003,1070,2
521,18653,6,Sun,9,2400003,1070,1
522,18654,6,Sun,1,2400006,1090,1
523,18655,6,Sun,9,2400006,1090,1
524,18656,6,Sun,16,2400006,1090,1
525,18657,6,Sun,2,2400006,1090,1
526,18658,6,Sun,7,2400009,1270,1
527,18659,6,Sun,9,2400009,1270,1
528,18660,6,Sun,8,2400009,1270,1
529,18725,6,Sun,17,2600003,2550,1
530,18726,6,Sun,7,2600005,1000,1
531,18727,6,Sun,11,2600005,1000,1
532,18758,6,Sun,6,2700005,420,1
533,18759,6,Sun,9,2700007,590,1
534,18780,6,Sun,4,2800001,1190,2
535,18781,6,Sun,6,2800001,1190,1
536,18782,6,Sun,7,2800001,1190,1
537,18783,6,Sun,17,2800001,1190,1
538,18865,6,Sun,11,3400003,830,1
539,18866,6,Sun,7,3400003,830,1
540,18885,7,Mon,3,1000001,420,1
541,18886,7,Mon,6,1000002,250,1
542,18887,7,Mon,15,1000002,100,1
543,18888,7,Mon,16,1000005,250,1
544,18889,7,Mon,16,1000006,250,1
545,18890,7,Mon,14,1000006,250,1
546,18891,7,Mon,16,1000008,250,1
547,18892,7,Mon,14,1000008,250,1
548,19608,7,Mon,1,1100001,590,1
549,20028,7,Mon,1,1200001,510,1
550,20029,7,Mon,1,1200002,510,1
551,20030,7,Mon,6,1200003,510,1
552,20031,7,Mon,13,1200003,510,1
553,20032,7,Mon,6,1200007,250,1
554,20033,7,Mon,7,1200007,250,1
555,20034,7,Mon,17,1200007,250,1
556,20035,7,Mon,17,1200007,250,1
557,20036,7,Mon,5,1200012,510,1
558,20037,7,Mon,7,1200015,340,1
559,20038,7,Mon,15,1200020,170,1
560,20039,7,Mon,6,1200021,510,1
561,20040,7,Mon,10,1200022,510,1
562,20041,7,Mon,17,1200024,510,1
563,20042,7,Mon,15,1200026,190,1
564,20043,7,Mon,12,1200027,340,1
565,20044,7,Mon,8,1200030,510,1
566,20045,7,Mon,0,1200030,510,1
567,20046,7,Mon,0,1200031,340,1
568,20279,7,Mon,14,1300001,4250,1
569,20425,7,Mon,5,1400002,850,1
570,20642,7,Mon,9,1600001,560,1
571,20643,7,Mon,8,1600002,510,1
572,20644,7,Mon,6,1600002,510,1
573,20678,7,Mon,10,1700001,1700,1
574,20679,7,Mon,6,1700001,1700,1
575,20680,7,Mon,5,1700003,2040,1
576,20681,7,Mon,0,1700003,2040,1
577,20682,7,Mon,7,1700004,1700,1
578,20683,7,Mon,1,1700004,1100,1
579,20684,7,Mon,5,1700009,1440,1
580,20685,7,Mon,13,1700015,940,1
581,20686,7,Mon,2,1700015,940,1
582,20687,7,Mon,17,1700018,2550,1
583,20819,7,Mon,2,2100001,930,1
584,20820,7,Mon,13,2100002,930,1
585,20821,7,Mon,11,2100002,930,1
586,20942,7,Mon,0,2300002,6460,1
587,20981,7,Mon,11,2400002,2550,1
588,20982,7,Mon,13,2400003,1070,1
589,20983,7,Mon,6,2400005,1870,1
590,20984,7,Mon,13,2400006,1090,1
591,20985,7,Mon,14,2400006,1090,1
592,20986,7,Mon,7,2400007,1020,1
593,20987,7,Mon,6,2400007,1020,1
594,20988,7,Mon,9,2400008,2210,1
595,20989,7,Mon,12,2400008,2210,1
596,20990,7,Mon,13,2400009,1270,1
597,21006,7,Mon,15,2500001,290,1
598,21026,7,Mon,3,2600002,3060,1
599,21027,7,Mon,1,2600004,1190,1
600,21028,7,Mon,13,2600004,1700,1
601,21029,7,Mon,7,2600005,1000,1
602,21030,7,Mon,14,2600005,1000,1
603,21031,7,Mon,15,2600006,2550,1
604,21057,7,Mon,10,2700004,420,1
605,21058,7,Mon,11,2700005,420,1
606,21059,7,Mon,8,2700006,510,1
607,21084,7,Mon,11,2800001,1190,1
608,21114,7,Mon,10,3000002,680,1
609,21199,8,Tue,1,1000004,120,1
610,21200,8,Tue,13,1000005,250,1
611,21201,8,Tue,1,1000007,100,1
612,21202,8,Tue,17,1000007,250,1
613,21203,8,Tue,1,1000007,250,1
614,21888,8,Tue,7,1200001,510,1
615,21889,8,Tue,13,1200003,510,1
616,21890,8,Tue,8,1200003,510,1
617,21891,8,Tue,13,1200007,250,1
618,21892,8,Tue,17,1200008,250,1
619,21893,8,Tue,17,1200010,250,1
620,21894,8,Tue,0,1200012,510,1
621,22119,8,Tue,13,1300001,4250,1
622,22120,8,Tue,11,1300001,4250,1
623,22233,8,Tue,2,1400002,850,1
624,22369,8,Tue,0,1600001,560,1
625,22390,8,Tue,12,1700001,1700,1
626,22391,8,Tue,13,1700003,2040,1
627,22392,8,Tue,0,1700006,100,1
628,22393,8,Tue,6,1700007,1100,1
629,22499,8,Tue,12,2100002,930,1
630,22500,8,Tue,12,2100003,1020,1
631,22501,8,Tue,7,2100003,1020,1
632,22586,8,Tue,14,2400001,2850,1
633,22587,8,Tue,7,2400004,1190,1
634,22596,8,Tue,0,2500004,510,1
635,22619,8,Tue,11,2600002,3060,1
636,22620,8,Tue,4,2600002,3060,1
637,22621,8,Tue,3,2600004,1700,1
638,22622,8,Tue,13,2600004,1700,1
639,22623,8,Tue,0,2600004,1700,1
640,22624,8,Tue,11,2600004,1700,1
641,22704,8,Tue,6,3200001,4230,1
642,22725,8,Tue,9,3400001,1190,1
643,22738,9,Web,14,1000002,250,1
644,22739,9,Web,1,1000004,120,1
645,22740,9,Web,7,1000005,250,1
646,22741,9,Web,7,1000006,250,1
647,23382,9,Web,15,1200001,510,1
648,23383,9,Web,9,1200003,510,1
649,23384,9,Web,9,1200006,340,1
650,23385,9,Web,8,1200007,250,1
651,23386,9,Web,8,1200009,250,1
652,23387,9,Web,13,1200011,510,1
653,23388,9,Web,13,1200012,510,1
654,23389,9,Web,0,1200013,510,1
655,23390,9,Web,5,1200016,250,1
656,23391,9,Web,8,1200020,250,1
